Poverty line,Year,World (Observed),World,East Asia & Pacific (Observed),East Asia & Pacific,Europe & Central Asia (Observed),Europe & Central Asia,Latin America & Caribbean (Observed),Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan (Observed)","Middle East, North Africa, Afghanistan & Pakistan",North America (Observed),North America,South Asia (Observed),South Asia,Sub-Saharan Africa (Observed),Sub-Saharan Africa,Eastern & Southern Africa (Observed),Eastern & Southern Africa,Western & Central Africa (Observed),Western & Central Africa
$8.30 (2021 PPP),1998,70.78835908269943,NA,82.55569904746841,NA,27.810189413263174,NA,54.32858428510768,NA,69.34741447931373,NA,1.619532439563709,NA,NA,96.19417522313863,91.44431091254303,NA,90.40860534199727,NA,92.97820942359397,NA
$8.30 (2021 PPP),1999,71.32384738943223,NA,82.13266369308224,NA,31.773797523654245,NA,55.08240718336261,NA,68.61693621704292,NA,1.4371531803580748,NA,NA,96.0472284393111,91.64342839580118,NA,90.6509820538838,NA,93.1116613634087,93.1116613634087
$8.30 (2021 PPP),2000,70.58191058408488,NA,81.19070993705533,NA,29.769337355643888,NA,53.15811324240811,NA,67.60901607516855,NA,1.4739248227211448,NA,NA,95.92667553125328,91.68508944516113,NA,90.67386219595785,NA,NA,93.17877604456325
$8.30 (2021 PPP),2001,69.9997735945035,NA,80.00047060220335,NA,28.04903920365687,NA,52.48257684166985,NA,67.82625788906952,67.82625788906952,1.6668326575435093,NA,NA,95.83552480642241,91.50974142018141,NA,90.4439933438966,NA,93.0806129711627,NA
$8.30 (2021 PPP),2002,69.30639684043675,NA,78.2996679657505,NA,26.417284663865725,NA,52.70521582420146,NA,NA,67.68639474515284,1.6787600388258654,NA,95.72589238204344,NA,91.40811045493862,NA,90.54546043858065,NA,92.67704513066833,NA
$8.30 (2021 PPP),2003,68.70132395034352,NA,76.6514516672219,NA,25.470263124169495,NA,52.03180335713434,NA,67.96060403101568,NA,1.83476968531258,NA,95.56077331330151,NA,91.48682316242842,NA,90.68810707500718,NA,92.65942272332998,NA
$8.30 (2021 PPP),2004,67.43031324024703,NA,74.87192724465814,NA,22.676372965187543,NA,50.58021878959511,NA,65.34038353606314,NA,1.8436927654591226,NA,95.37457296503317,NA,91.06851876338996,NA,90.27062136679808,NA,92.23772567032694,NA
$8.30 (2021 PPP),2005,66.24903530970329,NA,72.78320229188898,NA,20.681886833542208,NA,48.029478198079254,NA,64.91456436375783,NA,1.8001550993022677,NA,95.10168333802376,NA,90.7109739732389,NA,89.9104238373191,NA,91.88194541659502,NA
$8.30 (2021 PPP),2006,64.98610451527979,NA,70.90023041808095,NA,18.5641586451213,NA,44.45493241596645,NA,64.35221881241284,NA,1.8131279356193963,NA,94.76864496452949,NA,90.11407551677733,NA,89.16248266918744,NA,91.50380431043274,91.50380431043274
$8.30 (2021 PPP),2007,63.65618131258377,NA,68.36442527594212,NA,16.387572241040946,NA,42.34181429494826,NA,63.728829274760976,NA,1.7191871090351658,NA,94.43658036863373,NA,89.76628841011521,NA,88.75906873304733,NA,NA,91.23533721057595
